                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.83266,                0.85584,                 1.1091,                0.80269,                0.76945,                0.82257,                0.63999,                0.92949,                0.99997,                  1.211,              0.0011745,              0.0011745,              0.0011745
                     63,                0.83325,                0.85708,                 1.0704,                0.88635,                0.68534,                 0.7824,                0.62624,                0.93894,                 1.1002,                  1.192,              0.0011733,              0.0011733,              0.0011733
                     64,                0.75754,                0.76327,                 1.0447,                0.72716,                 0.7534,                0.77578,                0.62683,                0.93425,                 1.0805,                 1.1688,               0.001172,               0.001172,               0.001172
                     65,                0.80221,                0.84946,                 1.0621,                0.69951,                0.73366,                0.75515,                0.59287,                0.95148,                  1.168,                 1.1771,              0.0011708,              0.0011708,              0.0011708
                     66,                0.77603,                0.82359,                 1.0563,                0.81714,                0.75208,                0.78881,                0.63412,                0.85806,                  1.079,                 1.1513,              0.0011696,              0.0011696,              0.0011696
                     67,                0.80937,                0.80823,                 1.0674,                0.85524,                0.70924,                0.77099,                0.60732,                0.93587,                 1.1114,                  1.237,              0.0011683,              0.0011683,              0.0011683
                     68,                0.75739,                0.79743,                  1.069,                0.88687,                0.68814,                0.77886,                0.60864,                0.91211,                 1.0589,                 1.2419,              0.0011671,              0.0011671,              0.0011671
                     69,                0.79054,                0.80275,                 1.0603,                0.86583,                0.69358,                0.78062,                 0.6084,                 1.0391,                 1.0708,                 1.2879,              0.0011658,              0.0011658,              0.0011658
                     70,                0.82173,                  0.857,                 1.1056,                0.79427,                 0.7273,                0.82507,                0.60926,                 1.0005,                  1.108,                 1.2478,              0.0011646,              0.0011646,              0.0011646
                     71,                0.78942,                0.84323,                 1.0715,                0.86536,                0.71816,                0.80014,                0.60145,                0.97904,                 1.0568,                 1.2343,              0.0011634,              0.0011634,              0.0011634
                     72,                0.76425,                0.77869,                 1.0551,                0.81395,                0.74739,                0.78595,                0.62752,                0.92391,                  1.126,                 1.2058,              0.0011621,              0.0011621,              0.0011621
                     73,                0.82583,                0.86579,                 1.0679,                  0.901,                 0.6805,                0.76215,                0.64159,                 0.8982,                 1.1247,                 1.1748,              0.0011609,              0.0011609,              0.0011609
                     74,                0.83884,                0.82949,                 1.0586,                0.74603,                0.68154,                0.70686,                0.53963,                 1.0144,                  1.137,                 1.3087,              0.0011597,              0.0011597,              0.0011597
                     75,                0.81127,                0.83315,                 1.0649,                0.70874,                0.62674,                0.71865,                 0.5686,                0.97954,                 1.1838,                 1.2716,              0.0011584,              0.0011584,              0.0011584
                     76,                0.76781,                0.76655,                 1.0673,                0.75515,                0.59903,                0.70748,                0.57829,                0.98332,                 1.1997,                 1.2758,              0.0011572,              0.0011572,              0.0011572
                     77,                0.77666,                0.77527,                  1.085,                0.67909,                0.70377,                0.69275,                0.53965,                 1.0493,                 1.1336,                 1.3296,              0.0011559,              0.0011559,              0.0011559
                     78,                0.72146,                0.74721,                 1.0015,                0.77871,                0.65747,                0.74273,                0.56478,                 1.0889,                 1.1467,                 1.3455,              0.0011547,              0.0011547,              0.0011547
                     79,                0.73445,                0.79099,                 1.0609,                0.81908,                0.61828,                0.68833,                0.54447,                 1.0495,                 1.1503,                 1.3722,              0.0011535,              0.0011535,              0.0011535
                     80,                0.74788,                0.75807,                 1.0516,                0.77828,                0.62259,                0.67354,                0.52708,                 1.0991,                  1.212,                 1.4452,              0.0011522,              0.0011522,              0.0011522
                     81,                0.73211,                0.70526,                 1.0139,                0.69833,                0.70595,                0.67949,                0.51989,                 1.1227,                 1.3023,                 1.4684,               0.001151,               0.001151,               0.001151
                     82,                0.80349,                0.78549,                 1.0859,                0.79487,                0.71612,                0.70519,                0.55501,                 1.0783,                 1.3126,                 1.4116,              0.0011498,              0.0011498,              0.0011498
                     83,                0.77098,                0.75944,                 1.0614,                0.88251,                0.70698,                0.72756,                0.59027,                 1.0104,                 1.2214,                 1.3075,              0.0011485,              0.0011485,              0.0011485
                     84,                0.78184,                0.76112,                 1.0578,                0.70501,                0.74834,                0.71676,                0.59248,                0.96746,                 1.2161,                 1.2394,              0.0011473,              0.0011473,              0.0011473
                     85,                0.79271,                0.78484,                 1.0722,                0.80096,                 0.7174,                0.74222,                0.60309,                 0.9749,                 1.1912,                 1.2971,              0.0011461,              0.0011461,              0.0011461
                     86,                0.83192,                0.84852,                 1.1001,                 0.7756,                0.75221,                0.77052,                0.60638,                 0.9648,                 1.0914,                 1.3238,              0.0011448,              0.0011448,              0.0011448
