                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 2.1435,                 2.4611,                 2.5854,                0.73649,                0.30613,                0.33158,                0.12352,                 2.2526,                 3.2677,                 2.7494,             0.00058175,             0.00058175,             0.00058175
                     56,                 2.1194,                  2.502,                 2.6208,                0.76873,                0.19591,                0.33058,                  0.161,                 2.1092,                 3.0599,                 2.6689,             0.00056938,             0.00056938,             0.00056938
                     57,                 2.0484,                 2.4544,                 2.5213,                 0.6581,                0.32549,                0.36899,                0.21052,                 2.0155,                 2.8102,                 2.6194,               0.000557,               0.000557,               0.000557
                     58,                 2.1123,                 2.4437,                 2.5681,                0.46555,                0.39692,                0.43328,                0.24595,                 2.1522,                 2.7822,                 2.6968,             0.00054463,             0.00054463,             0.00054463
                     59,                  2.101,                 2.4499,                 2.5449,                0.48496,                0.39692,                0.42719,                0.21441,                 2.0656,                 2.5401,                  2.584,             0.00053225,             0.00053225,             0.00053225
                     60,                 2.1093,                 2.4027,                 2.6024,                  0.498,                0.39692,                0.42701,                0.19309,                 2.0213,                 2.5657,                 2.5475,             0.00051988,             0.00051988,             0.00051988
                     61,                 2.0567,                 2.3185,                 2.5664,                0.46783,                0.39692,                 0.4171,                0.23987,                 1.9351,                 2.5353,                 2.5336,              0.0005075,              0.0005075,              0.0005075
                     62,                 2.0415,                 2.3654,                 2.5148,                 0.5327,                0.39692,                0.46533,                0.28589,                 1.9297,                 2.5768,                 2.5144,             0.00049513,             0.00049513,             0.00049513
                     63,                 2.0345,                 2.3754,                 2.4748,                  0.512,                0.44237,                0.46342,                0.25202,                 2.0303,                 2.7428,                  2.526,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.9753,                 2.1866,                 2.4653,                0.45726,                0.37419,                0.44495,                0.24624,                 2.0139,                 2.6953,                 2.4924,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.9871,                  2.234,                  2.508,                0.69587,                 0.4099,                0.43813,                0.25545,                 1.9823,                 2.6263,                 2.5057,               0.000458,               0.000458,               0.000458
                     66,                 1.9805,                 2.2343,                 2.4516,                0.67167,                0.43773,                0.44863,                0.26352,                 1.9656,                 2.5916,                 2.5248,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.9966,                 2.2005,                 2.4569,                0.63079,                0.28896,                  0.388,                0.17796,                 2.0355,                 2.6178,                 2.6005,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.9212,                 2.2533,                 2.4915,                0.32862,                0.31169,                0.33836,                 0.1343,                 2.0987,                 2.7275,                 2.6685,             0.00042087,             0.00042087,             0.00042087
                     69,                  1.931,                  2.224,                  2.485,                0.38718,                0.24074,                0.28169,                0.12512,                 2.0722,                  2.964,                 2.6584,              0.0004085,              0.0004085,              0.0004085
                     70,                   1.99,                 2.1972,                 2.4889,                 0.4077,                0.10714,                0.26319,                0.13438,                 2.0191,                 3.2172,                 2.6816,             0.00039613,             0.00039613,             0.00039613
                     71,                 2.0263,                 2.1552,                 2.4606,                0.41483,                0.10714,                0.31951,                0.18426,                 2.1214,                 3.1095,                 2.7155,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.9647,                 2.1788,                 2.4247,                0.37849,                 0.2635,                0.35867,                0.19732,                  2.112,                 2.8468,                 2.6596,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.9537,                 2.2119,                 2.4646,                0.69823,                0.31169,                0.42014,                0.22644,                 2.0548,                 2.4237,                 2.5711,               0.000359,               0.000359,               0.000359
                     74,                 1.8775,                 2.1678,                 2.4078,                0.45992,                0.37376,                0.46157,                0.23478,                 2.0488,                 2.2632,                 2.5512,             0.00034663,             0.00034663,             0.00034663
                     75,                 1.8817,                 2.1705,                 2.4505,                0.72421,                0.50812,                0.54144,                0.31541,                 1.9749,                 2.1707,                 2.5332,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.9382,                 2.1442,                 2.4471,                0.73145,                0.54383,                0.53902,                0.31983,                 1.9566,                 2.2084,                 2.5466,             0.00032188,             0.00032188,             0.00032188
                     77,                 1.8884,                 2.0541,                 2.3539,                0.77248,                0.45809,                0.52562,                0.29963,                 2.0096,                 2.3999,                 2.5936,              0.0003095,              0.0003095,              0.0003095
                     78,                 1.8653,                 2.0056,                 2.3767,                0.72685,                0.44982,                0.50114,                0.30172,                 1.9412,                 2.4087,                 2.4993,             0.00029713,             0.00029713,             0.00029713
                     79,                 1.9378,                   2.12,                 2.4126,                0.71818,                0.35146,                0.43778,                0.24696,                 1.8712,                 2.3685,                 2.4327,             0.00028475,             0.00028475,             0.00028475
                     80,                  1.849,                 1.9993,                 2.3647,                0.68447,                0.40125,                0.46048,                 0.2422,                  1.869,                 2.3171,                 2.3945,             0.00027237,             0.00027237,             0.00027237
                     81,                 1.8304,                 2.0181,                 2.3786,                0.68628,                0.37419,                0.42647,                0.24628,                 1.8548,                  2.343,                  2.388,                0.00026,                0.00026,                0.00026
                     82,                 1.8457,                 2.0211,                 2.3277,                0.41705,                0.42263,                0.40989,                0.25967,                 1.8397,                 2.4595,                 2.4071,             0.00024762,             0.00024762,             0.00024762
                     83,                 1.8747,                 2.0574,                  2.384,                 0.7012,                0.37356,                0.43891,                0.26934,                 1.8294,                 2.4203,                 2.3931,             0.00023525,             0.00023525,             0.00023525
                     84,                 1.7838,                 1.9873,                  2.278,                0.66835,                0.36556,                0.40857,                0.24251,                 1.8251,                 2.4297,                 2.3973,             0.00022288,             0.00022288,             0.00022288
                     85,                 1.8045,                 2.0464,                 2.3345,                0.35851,                0.32878,                  0.397,                0.24859,                 1.8514,                 2.5264,                 2.4294,              0.0002105,              0.0002105,              0.0002105
                     86,                 1.8749,                  1.999,                 2.3046,                0.46265,                0.44562,                0.46702,                0.27748,                 1.8321,                  2.463,                 2.4239,             0.00019813,             0.00019813,             0.00019813
                     87,                 1.8252,                 2.0074,                 2.3594,                0.46359,                 0.4862,                0.46758,                0.30082,                 1.7796,                 2.3939,                 2.3964,             0.00018575,             0.00018575,             0.00018575
                     88,                 1.7806,                 1.9062,                 2.2725,                0.46432,                 0.5029,                0.46971,                0.30627,                 1.7958,                 2.3852,                 2.3962,             0.00017338,             0.00017338,             0.00017338
